sa||san|Sanskrit|cc93ab15726e1f541e87be545c59c7ae|
si||sin|Sinhala; Sinhalese|13d7272f9051c390272eda892c89f8a6|
sk||slk|Slovak|43c5b6b6d3e22aa62c4b30b5df100538|Latn
sl||slv|Slovenian|9bd064d758ca1b927d492a06380e7e01|Latn
es-ES|es-ES|spa|Spanish; Castilian|b1906fecc503a4aaabaa6a430f618a56|Latn
sq||sqi|Albanian|4f24bad2e76a8a87d768d7ea98672f9b|Latn
sr||srp|Serbian|bdd05c5c2c04f53f47aa371da98786f3|Latn
sw||swa|Swahili|35a4377d27c6cccca5068760236b8765|
sv||swe|Swedish|43670fb983aa37aaf2410c10af0fe95c|Latn
syc||syr|Syriac|3641e9c5b626be522a0fdb3c6ed09f07|
ta||tam|Tamil|031c0b39510051704ed064d5f0c9f15c|
te||tel|Telugu|1c99068b6468e39c7a3ac837d7bc361d|
tg||tgk|Tajik|625502080cefe842684a63f6395190e3|
th-TH|th-TH|tha|Thai|85f7c7975c56303a208c43c2448901ad|
tir||tir|Tigrinya|68807c43800b1277431b63697136e29f|
tr||tur|Turkish|c64b41a58e69359e23a145cc279d4009|Latn
ug||uig|Uighur; Uyghur|38933b4693e9681a482c741e9f9dd28c|
uk-UA|uk-UA|ukr|Ukrainian|54f88050cb47e40c93f1c0ee821dfc5c|
ur||urd|Urdu|6150d7b7397b6f67b888e429adc94ba9|
uz||uzb|Uzbek|887f0b37c6cbde2334ff95f093b1b014|
vi-VT|vi-VT|vie|Vietnamese|19159c2cbc91a2bf9f7cca853d8352f0|Latn
yi||yid|Yiddish|54e6a2a8944c5fb5f5f71cd072542187|
yue-Hans|yue-Hans||Cantonese (simplified)||
yue-Hant|yue-Hant||Cantonese (simplified)||
